"","AXP","BAC","JPM","CSCO","HPQ","IBM","INTC"
"AXP",0.0010389147085017,0.00133578845537906,0.000993100774857091,0.000464762551871668,0.000674423190402632,0.000458270332456918,0.000558599203693316
"BAC",0.00133578845537906,0.00363400344385343,0.00214199546961863,0.000971330773088708,0.00113773662951616,0.000862406268605109,0.000892221690110871
"JPM",0.000993100774857091,0.00214199546961863,0.00193987236729515,0.000922093900418661,0.00109857946002611,0.000689677671596438,0.000699774069989884
"CSCO",0.000464762551871668,0.000971330773088708,0.000922093900418661,0.00149673152172286,0.000898238968308246,0.000588095011514728,0.000536458323077057
"HPQ",0.000674423190402632,0.00113773662951616,0.00109857946002611,0.000898238968308246,0.00336519456110266,0.000840149820764843,0.000977196645766611
"IBM",0.000458270332456918,0.000862406268605109,0.000689677671596438,0.000588095011514728,0.000840149820764843,0.000860742718224697,0.000526766032503083
"INTC",0.000558599203693316,0.000892221690110871,0.000699774069989884,0.000536458323077057,0.000977196645766611,0.000526766032503083,0.00107369214372443
