Date,AXP,BAC,JPM,CSCO,HPQ,IBM,INTC
10/3/2011,42.42,5.85,29.21,15.98,23.8,176.19,20.72
9/26/2011,43.67,6.07,28.41,14.81,21.47,168.93,19.84
9/19/2011,45.18,6.26,27.91,14.91,21.35,163.59,20.6
9/12/2011,48.75,7.17,31.53,15.88,22.51,167.11,20.43
9/6/2011,45.99,6.92,30.26,15.12,21.55,155.89,18.32
8/29/2011,47.18,7.19,32.66,14.72,23.16,161.31,18.26
8/22/2011,47.15,7.69,34.15,14.64,23.61,163.39,18.38
8/15/2011,43.25,6.9,32.4,14.41,22.45,152.19,17.84
8/8/2011,43.66,7.12,33.87,15.28,30.75,162.48,19.2
8/1/2011,45.92,8.09,35.46,14.27,31.04,166.38,19.33
7/25/2011,48.67,9.62,38.15,15.26,33.46,174.91,20.56
7/18/2011,50.81,10.03,39.79,15.73,34.92,178.11,21.3
7/11/2011,50.39,9.9,37.71,14.9,33.38,168.84,20.6
7/5/2011,51.62,10.6,38.43,15.04,34.66,169.75,21.26
7/1/2011,50.91,10.98,39.22,15.1,35.25,167.88,20.75
